"","true","gods","naive","chao","l","N","S","comsize","saddef"
"345",30,31.583203188381,28,29.98,1,100,30,729416,3
"346",24.3909657835694,23.6122483828441,20.0601805416249,22.1850613154961,-1,200,30,729416,3
"347",26.9525556454114,25.8830943856936,23.2951901879969,24.9817387552608,0,200,30,729416,3
"348",30,28.4351409080295,28,28,1,200,30,729416,3
"349",24.3909657835694,24.156828492819,22.6814516129032,24.4547437295529,-1,300,30,729416,3
"350",26.9525556454114,26.4425849201144,25.6242845171412,26.9262446369405,0,300,30,729416,3
"351",30,29.1579855651123,30,30,1,300,30,729416,3
"352",8.13037511776136,7.52579804312908,6.66666666666667,7.07142857142855,-1,100,30,729416,4
"353",14.5560425835604,12.99816785292,11.3932502939825,15.6210056377872,0,100,30,729416,4
"354",30,27.3015859193568,23,94.28,1,100,30,729416,4
"355",8.13037511776136,7.64943775401326,7.07714083510262,7.30007336757153,-1,200,30,729416,4
"356",14.5560425835604,13.5617025935156,12.6121860538429,13.5095693789765,0,200,30,729416,4
"357",30,28.5902585395728,25,26.4925,1,200,30,729416,4
"358",8.13037511776136,7.84424753281028,7.44786494538232,7.61201629327903,-1,300,30,729416,4
"359",14.5560425835604,14.3973526772365,13.7731732261415,14.8068845077742,0,300,30,729416,4
"360",30,31.6953912866262,29,46.94,1,300,30,729416,4
"361",14.4786393382528,13.6598388945923,12.1951219512195,13.75,-1,100,30,729416,5
"362",18.6669565213656,16.9237700547111,15.2353094463982,18.8622743261699,0,100,30,729416,5
"363",30,23.1053818627396,22,49.72,1,100,30,729416,5
"364",14.4786393382528,14.2695399054659,12.970168612192,13.8002773925104,-1,200,30,729416,5
"365",18.6669565213656,17.99626459895,16.7091098611954,17.874895523072,0,200,30,729416,5
"366",30,24.938231269484,25,26.119375,1,200,30,729416,5
"367",14.4786393382528,14.5830030370927,14.3175310213172,14.9849649181423,-1,300,30,729416,5
"368",18.6669565213656,18.4726131761314,17.6963606452098,18.4530889777671,0,300,30,729416,5
"369",30,25.371906006773,25,25.1661111111111,1,300,30,729416,5
"370",2.74148389275394,2.72171012482689,2.66951414842499,2.71530444322545,-1,100,30,729416,6
"371",4.2201425843167,4.03290455468832,3.69651731599141,3.9080683913236,0,100,30,729416,6
"372",30,28.1328548468974,8,10.97,1,100,30,729416,6
"373",2.74148389275394,2.61116919051181,2.4633575563493,2.48160618530988,-1,200,30,729416,6
"374",4.2201425843167,4.05894570428753,3.84640001120897,3.99690946020631,0,200,30,729416,6
"375",30,33.6202442073172,11,15.4775,1,200,30,729416,6
"376",2.74148389275394,2.74886624002766,2.75330396475771,2.76954427565765,-1,300,30,729416,6
"377",4.2201425843167,4.20101157540315,4.10460276597466,4.2294860192364,0,300,30,729416,6
"378",30,32.939187703811,12,17.98,1,300,30,729416,6
"379",14.2702950234197,14.3002528466074,13.1926121372032,15.0455927051671,-1,100,30,729416,7
"380",19.2784066438483,20.0328102190365,17.9473833820249,21.4037636083195,0,100,30,729416,7
"381",30,32.8706413283335,26,32.336,1,100,30,729416,7
"382",14.2702950234197,14.6566772771529,14.3988480921526,15.4383242823895,-1,200,30,729416,7
"383",19.2784066438483,19.1825802031147,18.3844622623562,20.8830950290196,0,200,30,729416,7
"384",30,28.1051840041828,29,53.875,1,200,30,729416,7
"385",14.2702950234197,15.2944590568722,15.474552957359,16.2617839013778,-1,300,30,729416,7
"386",19.2784066438483,21.0541826943284,19.7190438102758,20.7127032874732,0,300,30,729416,7
"387",30,32.949941385524,28,28.9966666666667,1,300,30,729416,7
"388",16.1993273126905,17.8107603054867,16.5016501650165,19.5652173913043,-1,100,30,729416,8
