"size","lcl","ucl","est","obs"
562,12.106934311698,18.3592689801169,87.3505338078292,80
1000,21.1011229032833,34.3987078110024,116.155636363636,90
1778,11.5709328991054,20.2952017548725,107.027295416198,100
3162,11.854414789185,21.0955407373805,115.906273359784,107
5623,15.0822134111472,31.5518692626923,126.122310154722,111
10000,6.21994049964285,13.4943609289286,116.9999,116
100,16.8739500309108,33.1574997458749,58.8695,41
178,25.6778842621275,45.8475753905793,89.7977528089888,54
316,15.4125416953323,26.6449315276472,77.9928797468354,60
562,10.8070974247593,18.6874004622514,76.961743772242,72
1000,14.1623744367779,23.3623237998292,104.1838,88
1778,11.6023676410113,19.8875618544089,102.162073490814,94
3162,9.21790171359073,15.9284251101495,111.798481973435,107
5623,7.81605240510126,14.8471167216994,115.499377556465,112
10000,9.0236597294643,20.6582493330357,123.249375,117
100,57.0481241785714,168.622929392857,137,38
178,24.0970882775492,54.1753836325631,76.9143258426966,47
316,25.7262815782447,54.9420593668071,96.6123417721519,62
562,19.9481970096719,32.5921722074099,105.989387391967,80
1000,22.5676261787298,33.6255527651205,112.21975,82
1778,9.82653919264692,15.8177810206746,98.0388310836146,93
3162,9.23329758507332,16.102860964368,110.49826059456,105
5623,10.3339630504314,19.4199130752213,118.998577271919,111
10000,5.64440432696428,14.2706706730357,115.642792857143,115
100,20.6298367074176,41.9623664175823,56.4364285714286,36
178,22.8055068506204,42.8584385017799,78.638202247191,50
316,15.8268803489767,26.1146594057701,73.1487341772152,57
562,19.194161141509,31.0079762742891,109.955516014235,85
1000,22.2969542019366,39.8129855302062,118.3595,89
1778,10.6857061313251,17.9220548576859,107.996062992126,101
3162,11.3789144427872,16.3792315530663,118.536077458279,111
5623,8.02224947772602,15.8373231639751,117.082607149209,113
10000,4.38306666607141,8.39470795892858,114.39996,114
100,25.6902508241758,62.4446679258242,74,41
178,19.4018466573633,34.9176196347715,72.9261235955056,51
316,17.1190988557674,31.2080587967067,80.9920886075949,61
562,15.175657611108,24.5724325105142,87.2602948652771,73
1000,18.8547541038264,35.7799103192505,113.42355,87
1778,18.0943485203067,29.6260610936701,124.029269778778,102
