"samp","chaoest","cover","coverage","l","size","comm","reps"
64.2661492944441,67.9910733464606,63.454,0.975,0,1778,4,2
155,184.150262467192,147.582,0.975,1,1778,4,2
7.15324220410067,7.16719395364847,7.146,0.99,-1,3162,1,2
16.8588562575156,17.1861261299236,16.694,0.99,0,3162,1,2
99,112.880224298156,90.556,0.99,1,3162,1,2
19.0785065775162,19.1882487099152,18.958,0.99,-1,3162,2,2
34.1440483858793,34.7943860767659,33.488,0.99,0,3162,2,2
98,114.894655281467,87.813,0.99,1,3162,2,2
20.084054477522,20.2060453889354,20.074,0.99,-1,3162,3,2
47.7956222140899,49.3262458950535,47.661,0.99,0,3162,3,2
173,185.146157495256,170.71,0.99,1,3162,3,2
37.467936802974,37.9052433576299,37.468,0.99,-1,3162,4,2
66.622295961674,68.9768155229929,66.622,0.99,0,3162,4,2
172,206.122538477757,172,0.99,1,3162,4,2
6.73044198120005,6.73730924547268,6.724,0.996,-1,5623,1,2
17.2192068707418,17.398804916966,17.061,0.996,0,5623,1,2
106,112.398861817535,99.66,0.996,1,5623,1,2
18.9186354799856,18.9791264170178,18.866,0.996,-1,5623,2,2
34.2061211459515,34.5887677937062,33.901,0.996,0,5623,2,2
104,120.896994486929,96.006,0.996,1,5623,2,2
20.5428446311588,20.6145034782995,20.537,0.996,-1,5623,3,2
48.3749148366076,49.3018203127495,48.292,0.996,0,5623,3,2
192,201.585251567707,190.185,0.996,1,5623,3,2
38.6371461565251,38.8975504237664,38.637,0.996,-1,5623,4,2
68.4640245006431,69.8290723190131,68.464,0.996,0,5623,4,2
191,209.379083804961,191,0.996,1,5623,4,2
6.76181806895729,6.76571674172176,6.758,0.998,-1,10000,1,2
17.464151464909,17.5707723441242,17.355,0.998,0,10000,1,2
114,118.082925,107.71,0.998,1,10000,1,2
19.1660469644815,19.2009309542281,19.133,0.998,-1,10000,2,2
34.1933320560233,34.3976632725292,33.996,0.998,0,10000,2,2
110,115.3328,103.384,0.998,1,10000,2,2
19.6706194120688,19.7074180621572,19.671,0.998,-1,10000,3,2
48.4528639814946,49.0353915014797,48.453,0.998,0,10000,3,2
206,228.0394625,206,0.998,1,10000,3,2
37.8671408642493,38.0072768407626,37.852,0.998,-1,10000,4,2
67.6093898237648,68.3727325085162,67.525,0.998,0,10000,4,2
199,214.383076923077,196.859,0.998,1,10000,4,2
6.82032636324552,6.82255961917131,6.818,0.999,-1,17782,1,2
17.1215876499779,17.1834445842917,17.067,0.999,0,17782,1,2
119,125.124655550557,114.022,0.999,1,17782,1,2
19.528815298262,19.54918666483,19.515,0.999,-1,17782,2,2
35.1655380489056,35.2931073415633,35.083,0.999,0,17782,2,2
115,124.999437633562,109.81,0.999,1,17782,2,2
20.4569848869106,20.479394609165,20.457,0.999,-1,17782,3,2
48.9714427926402,49.3104740119268,48.971,0.999,0,17782,3,2
223,236.135624891361,223,0.999,1,17782,3,2
