"samp","chaoest","cover","coverage","cov_size","l","size","comm","reps"
43.1054315875252,46.8368046245636,39.766,0.929,338,0,707,"comm2",1
86,106.803866100896,67.593,0.929,338,1,707,"comm2",1
37.3160880925719,39.3396910466583,37.316,0.929,707,-1,707,"comm3",1
63.6128994193077,73.5865370792498,63.613,0.929,707,0,707,"comm3",1
129,188.439617431131,129,0.929,707,1,707,"comm3",1
39.876266453929,42.2000338180588,39.198,0.929,538,-1,707,"comm4",1
67.6147225100271,76.5355306630311,65.176,0.929,538,0,707,"comm4",1
125,159.176591230552,114.762,0.929,538,1,707,"comm4",1
16.3460900228168,16.6686609837455,16.072,0.941,422,-1,794,"comm1",1
27.6875593586209,29.9242533111834,26.202,0.941,422,0,794,"comm1",1
79,115.404093198992,62.718,0.941,422,1,794,"comm1",1
24.7773934915894,25.5432860040569,23.842,0.941,344,-1,794,"comm2",1
39.4965304916444,42.4079962739236,36.509,0.941,344,0,794,"comm2",1
81,105.469143576826,63.857,0.941,344,1,794,"comm2",1
37.8549297466074,39.7000000000002,37.855,0.941,794,-1,794,"comm3",1
60.3573825911312,67.9734812056636,60.357,0.941,794,0,794,"comm3",1
128,168.855886743166,128,0.941,794,1,794,"comm3",1
47.4012030075188,50.3471933471936,46.955,0.941,683,-1,794,"comm4",1
73.8558588124431,83.0658663609246,72.519,0.941,683,0,794,"comm4",1
133,169.317838332952,126.943,0.941,683,1,794,"comm4",1
14.6583393341827,14.886798828565,14.503,0.953,525,-1,891,"comm1",1
25.6154142454302,27.292587840852,24.625,0.953,525,0,891,"comm1",1
79,103.011482344816,65.794,0.953,525,1,891,"comm1",1
24.4353781279818,25.0962086207988,23.837,0.953,456,-1,891,"comm2",1
38.4094184687555,40.938952543699,36.399,0.953,456,0,891,"comm2",1
83,104.975308641975,68.387,0.953,456,1,891,"comm2",1
40.0000503854487,41.8331926566787,39.96,0.953,871,-1,891,"comm3",1
63.5296967921949,70.4570441352344,63.385,0.953,871,0,891,"comm3",1
129,167.161667176819,128.069,0.953,871,1,891,"comm3",1
45.6279671245474,48.0367094741945,45.628,0.953,891,-1,891,"comm4",1
71.9660341697779,80.5006237170215,71.966,0.953,891,0,891,"comm4",1
137,183.368952684742,137,0.953,891,1,891,"comm4",1
15.0547994700711,15.2696258253851,14.839,0.946,492,-1,1000,"comm1",1
26.9054573222035,28.6594667414752,25.467,0.946,492,0,1000,"comm1",1
86,116.344625,66.983,0.946,492,1,1000,"comm1",1
24.9053596333931,25.5159378831221,24.112,0.946,421,-1,1000,"comm2",1
41.0567765170036,43.4732713627083,38.172,0.946,421,0,1000,"comm2",1
90,105.369230769231,71.115,0.946,421,1,1000,"comm2",1
36.6112616240756,37.964581591548,36.611,0.946,1000,-1,1000,"comm3",1
63.1732660813047,70.7899302025521,63.173,0.946,1000,0,1000,"comm3",1
145,208.327913043478,145,0.946,1000,1,1000,"comm3",1
45.0572226727944,47.1359818816644,44.79,0.946,881,-1,1000,"comm4",1
74.2256029416044,82.9026848108622,73.211,0.946,881,0,1000,"comm4",1
150,202.311272727273,143.95,0.946,881,1,1000,"comm4",1
16.4995674853862,16.7308981589869,16.215,0.955,494,-1,1122,"comm1",1
28.8595441231975,30.2478284079725,27.305,0.955,494,0,1122,"comm1",1
82,98.0412457912458,66.249,0.955,494,1,1122,"comm1",1
27.4338389121339,28.0963677791181,26.641,0.955,496,-1,1122,"comm2",1
44.0403696410048,46.8100381670817,41.369,0.955,496,0,1122,"comm2",1
95,129.691275500099,76.169,0.955,496,1,1122,"comm2",1
38.3782696177062,39.7020833333333,38.378,0.955,1122,-1,1122,"comm3",1
65.9933951518305,72.6080384863059,65.993,0.955,1122,0,1122,"comm3",1
153,192.027684937611,153,0.955,1122,1,1122,"comm3",1
50.9257281553398,53.2995169082125,50.227,0.956,855,-1,1122,"comm4",1
78.7151408541719,86.3878900710137,76.653,0.956,855,0,1122,"comm4",1
149,194.084781639929,138.73,0.956,855,1,1122,"comm4",1
15.043956043956,15.2139352306183,14.845,0.958,572,-1,1258,"comm1",1
26.1558006714935,27.4287172038089,24.896,0.958,572,0,1258,"comm1",1
86,109.980922098569,67.101,0.958,572,1,1258,"comm1",1
26.6245625841184,27.1786119418377,25.857,0.958,512,-1,1258,"comm2",1
41.2911602967165,43.2635434431121,38.817,0.958,512,0,1258,"comm2",1
92,108.653418124006,72.908,0.958,512,1,1258,"comm2",1
37.8875748144601,39.0330272511849,37.746,0.958,1115,-1,1258,"comm3",1
64.5455504006987,70.243545428452,63.885,0.958,1115,0,1258,"comm3",1
149,193.144880763116,143.324,0.958,1115,1,1258,"comm3",1
51.5997391587871,53.763973888209,51.6,0.958,1258,-1,1258,"comm4",1
80.924814745063,89.2235113614802,80.925,0.958,1258,0,1258,"comm4",1
163,226.790161150455,163,0.958,1258,1,1258,"comm4",1
12.3762376237624,13.9830508474576,10.119,0.692,34,-1,100,"comm1",2
19.0751561800131,26.1000411947132,13.396,0.692,34,0,100,"comm1",2
32,60.611,17.488,0.692,34,1,100,"comm1",2
16.3934426229508,19.4117647058823,14.11,0.692,49,-1,100,"comm2",2
24.6784568841506,33.4417182479682,19.215,0.692,49,0,100,"comm2",2
37,54.881875,25.371,0.692,49,1,100,"comm2",2
35.4609929078014,54.3956043956043,35.461,0.692,100,-1,100,"comm3",2
43.1793923205692,74.9323430999627,43.179,0.692,100,0,100,"comm3",2
53,105.855,53,0.692,100,1,100,"comm3",2
39.3700787401575,64.2857142857141,39.217,0.69,99,-1,100,"comm4",2
46.3314203354491,77.8845162410854,46.124,0.69,99,0,100,"comm4",2
55,94.64125,54.69,0.69,99,1,100,"comm4",2
16.2067183462532,18.7794561933535,11.486,0.646,28,-1,112,"comm1",2
22.3964371245852,30.4283439037656,13.827,0.646,28,0,112,"comm1",2
35,67.1107142857143,16.455,0.646,28,1,112,"comm1",2
17.4222222222222,20.4473684210526,13.644,0.647,39,-1,112,"comm2",2
26.3926068785604,39.127248828251,17.901,0.647,39,0,112,"comm2",2
40,94.6328125,22.351,0.647,39,1,112,"comm2",2
29.4460093896714,39.5923566878981,26.487,0.645,78,-1,112,"comm3",2
39.6500396740638,65.7802072186462,33.917,0.645,78,0,112,"comm3",2
