"samp","chaoest","cover","coverage","l","size","comm","reps"
278.441443078009,635.508852599055,236.605,0.499,0,630,"soil.Brazil",1
385,1117.0724963925,310.465,0.499,1,630,"soil.Brazil",1
73.9657100260902,83.6718749999999,67.383,0.499,-1,630,"soil.Florida",1
206.835690195907,427.19207826171,149.151,0.499,0,630,"soil.Florida",1
347,959.469676549865,217.736,0.499,1,630,"soil.Florida",1
160.169491525424,214.431818181818,139.58,0.499,-1,630,"soil.Illinois",1
265.551586344167,594.412732447226,205.766,0.499,0,630,"soil.Illinois",1
369,1121.56397156085,262.169,0.499,1,630,"soil.Illinois",1
183.410351201479,258.324641460235,183.41,0.499,-1,630,"soil.Canada",1
305.970743436629,801.019946527708,305.971,0.499,0,630,"soil.Canada",1
408,1404.97498412698,408,0.499,1,630,"soil.Canada",1
178.581279028224,238.595602294455,155.057,0.521,-1,707,"soil.Brazil",1
286.049691546171,585.47719323623,222.336,0.521,0,707,"soil.Brazil",1
399,1051.40924092409,283.593,0.521,1,707,"soil.Brazil",1
94.6146129093318,109.078234265734,87.724,0.521,-1,707,"soil.Florida",1
242.331648614396,520.073583192049,189.623,0.521,0,707,"soil.Florida",1
392,1188.41040147971,276.284,0.521,1,707,"soil.Florida",1
151.42350802787,192.421742482653,133.053,0.521,-1,707,"soil.Illinois",1
269.125101105594,542.65379811985,206.636,0.521,0,707,"soil.Illinois",1
393,1021.03665916943,272.96,0.521,1,707,"soil.Illinois",1
216.666233203294,311.963750000001,216.666,0.521,-1,707,"soil.Canada",1
343.968204636276,835.702386956869,343.968,0.521,0,707,"soil.Canada",1
451,1376.47139207008,451,0.521,1,707,"soil.Canada",1
173.387238723872,221.548909218861,153.453,0.535,-1,794,"soil.Brazil",1
301.900703234708,608.528229240462,236.654,0.535,0,794,"soil.Brazil",1
437,1162.84250039358,312.12,0.535,1,794,"soil.Brazil",1
138.496485061511,167.547099521023,127.138,0.535,-1,794,"soil.Florida",1
293.072240452239,569.837755107315,236.057,0.535,0,794,"soil.Florida",1
440,1043.39934928631,325.638,0.535,1,794,"soil.Florida",1
182.417824074074,236.529676934637,162.302,0.535,-1,794,"soil.Illinois",1
310.999804434579,602.526648287741,248.024,0.535,0,794,"soil.Illinois",1
442,1037.41150348392,324.77,0.535,1,794,"soil.Illinois",1
247.229803921569,358.566059225514,247.23,0.535,-1,794,"soil.Canada",1
377.481402947723,893.57603609257,377.481,0.535,0,794,"soil.Canada",1
496,1495.92288672396,496,0.535,1,794,"soil.Canada",1
163.048059149723,199.343891402715,145.355,0.54,-1,891,"soil.Brazil",1
316.062119608029,617.927576190179,243.423,0.54,0,891,"soil.Brazil",1
478,1226.40909090909,330.6,0.54,1,891,"soil.Brazil",1
113.26594378656,129.61588754495,105.651,0.54,-1,891,"soil.Florida",1
293.65966070278,609.605069895577,233.172,0.54,0,891,"soil.Florida",1
480,1412.29338842975,342.461,0.54,1,891,"soil.Florida",1
174.364375137272,216.545603495358,146.833,0.54,-1,891,"soil.Illinois",1
303.239276090926,576.199580221508,216.778,0.54,0,891,"soil.Illinois",1
456,1194.40110506777,282.902,0.54,1,891,"soil.Illinois",1
281.218916046759,410.450310559007,281.219,0.54,-1,891,"soil.Canada",1
