"samp","chaoest","cover","coverage","cov_size","l","size","comm","reps"
16.1799609896315,16.4957296306,15.972,0.942,473,-1,794,"comm1",1
27.2943067491622,29.3622501345136,26.109,0.942,473,0,794,"comm1",1
80,104.469143576826,65.469,0.942,473,1,794,"comm1",1
25.5506200859204,26.3669179229482,24.618,0.942,357,-1,794,"comm2",1
39.3856510193409,41.8967119034354,36.597,0.942,357,0,794,"comm2",1
80,90.3084292911119,64.378,0.942,357,1,794,"comm2",1
37.8549297466074,39.7000000000002,37.855,0.942,794,-1,794,"comm3",1
59.6538189843602,67.3366480438711,59.654,0.942,794,0,794,"comm3",1
123,175.833375314861,123,0.942,794,1,794,"comm3",1
53.644996596324,57.4595729147657,53.486,0.942,760,-1,794,"comm4",1
78.2248611140657,88.6406074930653,77.808,0.942,760,0,794,"comm4",1
138,180.033950279268,136.074,0.942,760,1,794,"comm4",1
15.6710752284885,15.9337325188877,15.442,0.945,469,-1,891,"comm1",1
27.308482029422,29.0739475434296,25.927,0.945,469,0,891,"comm1",1
82,101.178451178451,65.797,0.945,469,1,891,"comm1",1
26.1687378448759,26.9303131155336,25.339,0.945,413,-1,891,"comm2",1
40.1437325768856,42.8767291982515,37.545,0.945,413,0,891,"comm2",1
86,108.016928544706,68.193,0.945,413,1,891,"comm2",1
37.6764747757582,39.2958374628346,37.676,0.945,891,-1,891,"comm3",1
60.1967702139478,68.0558242765145,60.197,0.945,891,0,891,"comm3",1
129,208.943509165731,129,0.945,891,1,891,"comm3",1
50.6851177935261,53.6819658813974,50.445,0.945,821,-1,891,"comm4",1
77.7322867243182,87.2238309382854,77.006,0.945,821,0,891,"comm4",1
144,186.140151515152,140.312,0.945,821,1,891,"comm4",1
14.9593106749641,15.17130360831,14.749,0.953,495,-1,1000,"comm1",1
25.5993957281464,26.7890235961488,24.39,0.953,495,0,1000,"comm1",1
77,83.3936,62.312,0.953,495,1,1000,"comm1",1
26.2977962446747,26.9810403500242,25.533,0.953,458,-1,1000,"comm2",1
40.9673408481382,43.6373759974156,38.494,0.953,458,0,1000,"comm2",1
89,117.380681818182,70.952,0.953,458,1,1000,"comm2",1
37.3524577917227,38.762998603135,37.352,0.953,1000,-1,1000,"comm3",1
62.0717632631825,68.6579925467454,62.072,0.953,1000,0,1000,"comm3",1
138,182.13582,138,0.953,1000,1,1000,"comm3",1
48.3933410762679,50.8034987794953,48.184,0.953,916,-1,1000,"comm4",1
73.6170842027691,81.4375328248786,72.973,0.953,916,0,1000,"comm4",1
142,183.980704545455,138.227,0.953,916,1,1000,"comm4",1
15.2929371461892,15.4904428789595,14.993,0.947,437,-1,1122,"comm1",1
26.8202483348756,28.0898717314703,25.064,0.947,437,0,1122,"comm1",1
82,95.4879679144385,62.053,0.947,437,1,1122,"comm1",1
24.7850842652386,25.3223676263338,23.814,0.947,384,-1,1122,"comm2",1
39.972964072259,41.7894510115665,36.749,0.947,384,0,1122,"comm2",1
86,92.99376114082,66.242,0.947,384,1,1122,"comm2",1
40.2817099705619,41.7445071357451,40.282,0.947,1122,-1,1122,"comm3",1
