"chaotile","l","inds","reps","comm"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
48.5,-1,150,60,"com1"
